X	Y
1,133333333	5,333333333
1,266666667	5,333333333
1,4	5,333333333
1,533333333	5,333333333
1,666666667	5,333333333
1,8	5,333333333
1,933333333	5,333333333
2,066666667	5,333333333
2,2	5,333333333
2,333333333	5,333333333
2,466666667	5,333333333
2,6	5,333333333
2,733333333	5,333333333
2,866666667	5,333333333
3	5,333333333
3,133333333	5,333333333
3,266666667	5,333333333
3,4	5,333333333
3,533333333	5,333333333
3,666666667	5,333333333
3,6	5,448666667
3,533333333	5,564
3,466666667	5,68
3,4	5,795333333
3,333333333	5,910666667
3,266666667	6,026
3,2	6,141333333
3,133333333	6,257333333
3,066666667	6,372666667
3	6,488
2,933333333	6,603333333
2,866666667	6,718666667
2,8	6,834666667
2,733333333	6,95
2,666666667	7,065333333
2,6	7,180666667
2,533333333	7,296
2,466666667	7,412
2,4	7,527333333
2,333333333	7,642666667
2,266666667	7,527333333
2,2	7,412
2,133333333	7,296
2,066666667	7,180666667
2	7,065333333
1,933333333	6,95
1,866666667	6,834666667
1,8	6,718666667
1,733333333	6,603333333
1,666666667	6,488
1,6	6,372666667
1,533333333	6,257333333
1,466666667	6,141333333
1,4	6,026
1,333333333	5,910666667
1,266666667	5,795333333
1,2	5,68
1,133333333	5,564
1,066666667	5,448666667
1	5,333333333
-3,533333333	5,333333333
-3,4	5,333333333
-3,266666667	5,333333333
-3,133333333	5,333333333
-3	5,333333333
-2,866666667	5,333333333
-2,733333333	5,333333333
-2,6	5,333333333
-2,466666667	5,333333333
-2,333333333	5,333333333
-2,2	5,333333333
-2,066666667	5,333333333
-1,933333333	5,333333333
-1,8	5,333333333
-1,666666667	5,333333333
-1,533333333	5,333333333
-1,4	5,333333333
-1,266666667	5,333333333
-1,133333333	5,333333333
-1	5,333333333
-1,066666667	5,448666667
-1,133333333	5,564
-1,2	5,68
-1,266666667	5,795333333
-1,333333333	5,910666667
-1,4	6,026
-1,466666667	6,141333333
-1,533333333	6,257333333
-1,6	6,372666667
-1,666666667	6,488
-1,733333333	6,603333333
-1,8	6,718666667
-1,866666667	6,834666667
-1,933333333	6,95
-2	7,065333333
-2,066666667	7,180666667
-2,133333333	7,296
-2,2	7,412
-2,266666667	7,527333333
-2,333333333	7,642666667
-2,4	7,527333333
-2,466666667	7,412
-2,533333333	7,296
-2,6	7,180666667
-2,666666667	7,065333333
-2,733333333	6,95
-2,8	6,834666667
-2,866666667	6,718666667
-2,933333333	6,603333333
-3	6,488
-3,066666667	6,372666667
-3,133333333	6,257333333
-3,2	6,141333333
-3,266666667	6,026
-3,333333333	5,910666667
-3,4	5,795333333
-3,466666667	5,68
-3,533333333	5,564
-3,6	5,448666667
-3,666666667	5,333333333
-1,2	3,333333333
-1,066666667	3,333333333
-0,933333333	3,333333333
-0,8	3,333333333
-0,666666667	3,333333333
-0,533333333	3,333333333
-0,4	3,333333333
-0,266666667	3,333333333
-0,133333333	3,333333333
0	3,333333333
0,133333333	3,333333333
0,266666667	3,333333333
0,4	3,333333333
0,533333333	3,333333333
0,666666667	3,333333333
0,8	3,333333333
0,933333333	3,333333333
1,066666667	3,333333333
1,2	3,333333333
1,333333333	3,333333333
1,266666667	3,448666667
1,2	3,564
